id,species,island,flipper_length_mm,body_mass_g,sex,year
1,Adelie,Torgersen,181,3750,male,2007
2,Adelie,Torgersen,186,3800,female,2007
4,Adelie,Torgersen,193,3450,female,2007
5,Adelie,Torgersen,190,3650,male,2007
6,Adelie,Torgersen,181,3625,female,2007
7,Adelie,Torgersen,195,4675,male,2007
8,Adelie,Torgersen,182,3200,female,2007
9,Adelie,Torgersen,191,3800,male,2007
10,Adelie,Torgersen,198,4400,male,2007
12,Adelie,Torgersen,195,3450,female,2007
13,Adelie,Torgersen,197,4500,male,2007
14,Adelie,Torgersen,184,3325,female,2007
15,Adelie,Torgersen,194,4200,male,2007
17,Adelie,Biscoe,180,3600,male,2007
18,Adelie,Biscoe,189,3800,female,2007
19,Adelie,Biscoe,185,3950,male,2007
20,Adelie,Biscoe,180,3800,male,2007
21,Adelie,Biscoe,187,3800,female,2007
22,Adelie,Biscoe,183,3550,male,2007
24,Adelie,Biscoe,172,3150,female,2007
25,Adelie,Biscoe,180,3950,male,2007
27,Adelie,Dream,178,3900,male,2007
28,Adelie,Dream,188,3300,female,2007
29,Adelie,Dream,184,3900,male,2007
30,Adelie,Dream,195,3325,female,2007
32,Adelie,Dream,190,3950,male,2007
33,Adelie,Dream,180,3550,female,2007
34,Adelie,Dream,181,3300,female,2007
35,Adelie,Dream,184,4650,male,2007
36,Adelie,Dream,182,3150,female,2007
38,Adelie,Dream,186,3100,female,2007
39,Adelie,Dream,196,4400,male,2007
40,Adelie,Dream,185,3000,female,2007
41,Adelie,Dream,190,4600,male,2007
42,Adelie,Dream,182,3425,male,2007
44,Adelie,Dream,191,4150,male,2007
45,Adelie,Biscoe,186,3500,female,2008
46,Adelie,Biscoe,188,4300,male,2008
48,Adelie,Biscoe,200,4050,male,2008
49,Adelie,Biscoe,187,2900,female,2008
50,Adelie,Biscoe,191,3700,male,2008
51,Adelie,Biscoe,186,3550,female,2008
52,Adelie,Biscoe,193,3800,male,2008
53,Adelie,Biscoe,181,2850,female,2008
54,Adelie,Biscoe,194,3750,male,2008
55,Adelie,Biscoe,185,3150,female,2008
56,Adelie,Biscoe,195,4400,male,2008
57,Adelie,Biscoe,185,3600,female,2008
58,Adelie,Biscoe,192,4050,male,2008
59,Adelie,Biscoe,184,2850,female,2008
60,Adelie,Biscoe,192,3950,male,2008
61,Adelie,Biscoe,195,3350,female,2008
62,Adelie,Biscoe,188,4100,male,2008
63,Adelie,Torgersen,190,3050,female,2008
64,Adelie,Torgersen,198,4450,male,2008
65,Adelie,Torgersen,190,3600,female,2008
66,Adelie,Torgersen,190,3900,male,2008
67,Adelie,Torgersen,196,3550,female,2008
68,Adelie,Torgersen,197,4150,male,2008
69,Adelie,Torgersen,190,3700,female,2008
70,Adelie,Torgersen,195,4250,male,2008
71,Adelie,Torgersen,191,3700,female,2008
72,Adelie,Torgersen,184,3900,male,2008
73,Adelie,Torgersen,187,3550,female,2008
74,Adelie,Torgersen,195,4000,male,2008
76,Adelie,Torgersen,196,4700,male,2008
77,Adelie,Torgersen,187,3800,female,2008
78,Adelie,Torgersen,193,4200,male,2008
79,Adelie,Dream,191,3350,female,2008
80,Adelie,Dream,194,3550,male,2008
81,Adelie,Dream,190,3800,male,2008
82,Adelie,Dream,189,3500,female,2008
83,Adelie,Dream,189,3950,male,2008
84,Adelie,Dream,190,3600,female,2008
85,Adelie,Dream,202,3550,female,2008
86,Adelie,Dream,205,4300,male,2008
87,Adelie,Dream,185,3400,female,2008
88,Adelie,Dream,186,4450,male,2008
89,Adelie,Dream,187,3300,female,2008
90,Adelie,Dream,208,4300,male,2008
91,Adelie,Dream,190,3700,female,2008
92,Adelie,Dream,196,4350,male,2008
94,Adelie,Dream,192,4100,male,2008
95,Adelie,Biscoe,192,3725,female,2009
97,Adelie,Biscoe,183,3075,female,2009
98,Adelie,Biscoe,190,4250,male,2009
99,Adelie,Biscoe,193,2925,female,2009
100,Adelie,Biscoe,184,3550,male,2009
101,Adelie,Biscoe,199,3750,female,2009
102,Adelie,Biscoe,190,3900,male,2009
103,Adelie,Biscoe,181,3175,female,2009
104,Adelie,Biscoe,197,4775,male,2009
105,Adelie,Biscoe,198,3825,female,2009
106,Adelie,Biscoe,191,4600,male,2009
107,Adelie,Biscoe,193,3200,female,2009
108,Adelie,Biscoe,197,4275,male,2009
109,Adelie,Biscoe,191,3900,female,2009
110,Adelie,Biscoe,196,4075,male,2009
111,Adelie,Torgersen,188,2900,female,2009
112,Adelie,Torgersen,199,3775,male,2009
113,Adelie,Torgersen,189,3350,female,2009
114,Adelie,Torgersen,189,3325,male,2009
116,Adelie,Torgersen,198,3500,male,2009
117,Adelie,Torgersen,176,3450,female,2009
118,Adelie,Torgersen,202,3875,male,2009
119,Adelie,Torgersen,186,3050,female,2009
120,Adelie,Torgersen,199,4000,male,2009
121,Adelie,Torgersen,191,3275,female,2009
122,Adelie,Torgersen,195,4300,male,2009
123,Adelie,Torgersen,191,3050,female,2009
124,Adelie,Torgersen,210,4000,male,2009
125,Adelie,Torgersen,190,3325,female,2009
126,Adelie,Torgersen,197,3500,male,2009
128,Adelie,Dream,199,4475,male,2009
129,Adelie,Dream,187,3425,female,2009
130,Adelie,Dream,190,3900,male,2009
131,Adelie,Dream,191,3175,female,2009
132,Adelie,Dream,200,3975,male,2009
133,Adelie,Dream,185,3400,female,2009
134,Adelie,Dream,193,4250,male,2009
135,Adelie,Dream,193,3400,female,2009
136,Adelie,Dream,187,3475,male,2009
137,Adelie,Dream,188,3050,female,2009
138,Adelie,Dream,190,3725,male,2009
139,Adelie,Dream,192,3000,female,2009
140,Adelie,Dream,185,3650,male,2009
141,Adelie,Dream,190,4250,male,2009
142,Adelie,Dream,184,3475,female,2009
143,Adelie,Dream,195,3450,female,2009
144,Adelie,Dream,193,3750,male,2009
145,Adelie,Dream,187,3700,female,2009
146,Adelie,Dream,201,4000,male,2009
147,Gentoo,Biscoe,211,4500,female,2007
148,Gentoo,Biscoe,230,5700,male,2007
149,Gentoo,Biscoe,210,4450,female,2007
150,Gentoo,Biscoe,218,5700,male,2007
151,Gentoo,Biscoe,215,5400,male,2007
152,Gentoo,Biscoe,210,4550,female,2007
153,Gentoo,Biscoe,211,4800,female,2007
154,Gentoo,Biscoe,219,5200,male,2007
155,Gentoo,Biscoe,209,4400,female,2007
156,Gentoo,Biscoe,215,5150,male,2007
157,Gentoo,Biscoe,214,4650,female,2007
158,Gentoo,Biscoe,216,5550,male,2007
159,Gentoo,Biscoe,214,4650,female,2007
160,Gentoo,Biscoe,213,5850,male,2007
161,Gentoo,Biscoe,210,4200,female,2007
162,Gentoo,Biscoe,217,5850,male,2007
163,Gentoo,Biscoe,210,4150,female,2007
164,Gentoo,Biscoe,221,6300,male,2007
165,Gentoo,Biscoe,209,4800,female,2007
166,Gentoo,Biscoe,222,5350,male,2007
167,Gentoo,Biscoe,218,5700,male,2007
168,Gentoo,Biscoe,215,5000,female,2007
169,Gentoo,Biscoe,213,4400,female,2007
170,Gentoo,Biscoe,215,5050,male,2007
171,Gentoo,Biscoe,215,5000,female,2007
172,Gentoo,Biscoe,215,5100,male,2007
175,Gentoo,Biscoe,220,5550,male,2007
177,Gentoo,Biscoe,209,4700,female,2007
178,Gentoo,Biscoe,207,5050,female,2007
179,Gentoo,Biscoe,230,6050,male,2007
180,Gentoo,Biscoe,220,5150,female,2008
181,Gentoo,Biscoe,220,5400,male,2008
182,Gentoo,Biscoe,213,4950,female,2008
183,Gentoo,Biscoe,219,5250,male,2008
184,Gentoo,Biscoe,208,4350,female,2008
185,Gentoo,Biscoe,208,5350,male,2008
186,Gentoo,Biscoe,208,3950,female,2008
187,Gentoo,Biscoe,225,5700,male,2008
188,Gentoo,Biscoe,210,4300,female,2008
189,Gentoo,Biscoe,216,4750,male,2008
190,Gentoo,Biscoe,222,5550,male,2008
191,Gentoo,Biscoe,217,4900,female,2008
192,Gentoo,Biscoe,210,4200,female,2008
193,Gentoo,Biscoe,225,5400,male,2008
194,Gentoo,Biscoe,213,5100,female,2008
195,Gentoo,Biscoe,215,5300,male,2008
196,Gentoo,Biscoe,210,4850,female,2008
197,Gentoo,Biscoe,220,5300,male,2008
198,Gentoo,Biscoe,210,4400,female,2008
199,Gentoo,Biscoe,225,5000,male,2008
200,Gentoo,Biscoe,217,4900,female,2008
201,Gentoo,Biscoe,220,5050,male,2008
202,Gentoo,Biscoe,208,4300,female,2008
203,Gentoo,Biscoe,220,5000,male,2008
205,Gentoo,Biscoe,224,5550,male,2008
206,Gentoo,Biscoe,208,4200,female,2008
207,Gentoo,Biscoe,221,5300,male,2008
208,Gentoo,Biscoe,214,4400,female,2008
209,Gentoo,Biscoe,231,5650,male,2008
210,Gentoo,Biscoe,219,4700,female,2008
211,Gentoo,Biscoe,230,5700,male,2008
213,Gentoo,Biscoe,220,4700,female,2008
214,Gentoo,Biscoe,223,5550,male,2008
215,Gentoo,Biscoe,216,4750,female,2008
216,Gentoo,Biscoe,221,5000,male,2008
217,Gentoo,Biscoe,221,5100,male,2008
218,Gentoo,Biscoe,217,5200,female,2008
219,Gentoo,Biscoe,216,4700,female,2008
220,Gentoo,Biscoe,230,5800,male,2008
221,Gentoo,Biscoe,209,4600,female,2008
222,Gentoo,Biscoe,220,6000,male,2008
223,Gentoo,Biscoe,215,4750,female,2008
224,Gentoo,Biscoe,223,5950,male,2008
225,Gentoo,Biscoe,212,4625,female,2009
226,Gentoo,Biscoe,221,5450,male,2009
227,Gentoo,Biscoe,212,4725,female,2009
230,Gentoo,Biscoe,228,5600,male,2009
231,Gentoo,Biscoe,218,4600,female,2009
232,Gentoo,Biscoe,218,5300,male,2009
233,Gentoo,Biscoe,212,4875,female,2009
234,Gentoo,Biscoe,230,5550,male,2009
235,Gentoo,Biscoe,218,4950,female,2009
236,Gentoo,Biscoe,228,5400,male,2009
237,Gentoo,Biscoe,212,4750,female,2009
238,Gentoo,Biscoe,224,5650,male,2009
239,Gentoo,Biscoe,214,4850,female,2009
240,Gentoo,Biscoe,226,5200,male,2009
241,Gentoo,Biscoe,216,4925,male,2009
242,Gentoo,Biscoe,222,4875,female,2009
243,Gentoo,Biscoe,203,4625,female,2009
245,Gentoo,Biscoe,219,4850,female,2009
246,Gentoo,Biscoe,228,5600,male,2009
247,Gentoo,Biscoe,215,4975,female,2009
248,Gentoo,Biscoe,228,5500,male,2009
249,Gentoo,Biscoe,215,5500,male,2009
250,Gentoo,Biscoe,210,4700,female,2009
251,Gentoo,Biscoe,219,5500,male,2009
252,Gentoo,Biscoe,208,4575,female,2009
253,Gentoo,Biscoe,209,5500,male,2009
254,Gentoo,Biscoe,216,5000,female,2009
255,Gentoo,Biscoe,229,5950,male,2009
256,Gentoo,Biscoe,213,4650,female,2009
257,Gentoo,Biscoe,230,5500,male,2009
258,Gentoo,Biscoe,217,4375,female,2009
259,Gentoo,Biscoe,230,5850,male,2009
260,Gentoo,Biscoe,222,6000,male,2009
261,Gentoo,Biscoe,214,4925,female,2009
262,Gentoo,Biscoe,215,4850,female,2009
263,Gentoo,Biscoe,222,5750,male,2009
264,Gentoo,Biscoe,212,5200,female,2009
265,Gentoo,Biscoe,213,5400,male,2009
266,Chinstrap,Dream,192,3500,female,2007
267,Chinstrap,Dream,196,3900,male,2007
268,Chinstrap,Dream,193,3650,male,2007
269,Chinstrap,Dream,188,3525,female,2007
270,Chinstrap,Dream,197,3725,male,2007
271,Chinstrap,Dream,198,3950,female,2007
273,Chinstrap,Dream,197,3750,male,2007
274,Chinstrap,Dream,195,4150,female,2007
275,Chinstrap,Dream,198,3700,male,2007
279,Chinstrap,Dream,201,4050,male,2007
280,Chinstrap,Dream,190,3575,female,2007
281,Chinstrap,Dream,201,4050,male,2007
282,Chinstrap,Dream,197,3300,male,2007
283,Chinstrap,Dream,181,3700,female,2007
285,Chinstrap,Dream,195,4400,male,2007
286,Chinstrap,Dream,181,3600,female,2007
287,Chinstrap,Dream,191,3400,male,2007
288,Chinstrap,Dream,187,2900,female,2007
289,Chinstrap,Dream,193,3800,male,2007
290,Chinstrap,Dream,195,3300,female,2007
291,Chinstrap,Dream,197,4150,male,2007
292,Chinstrap,Dream,200,3400,female,2008
293,Chinstrap,Dream,200,3800,male,2008
294,Chinstrap,Dream,191,3700,female,2008
295,Chinstrap,Dream,205,4550,male,2008
296,Chinstrap,Dream,187,3200,female,2008
298,Chinstrap,Dream,187,3350,female,2008
299,Chinstrap,Dream,203,4100,male,2008
300,Chinstrap,Dream,195,3600,male,2008
301,Chinstrap,Dream,199,3900,female,2008
302,Chinstrap,Dream,195,3850,female,2008
303,Chinstrap,Dream,210,4800,male,2008
304,Chinstrap,Dream,192,2700,female,2008
305,Chinstrap,Dream,205,4500,male,2008
306,Chinstrap,Dream,210,3950,male,2008
307,Chinstrap,Dream,187,3650,female,2008
308,Chinstrap,Dream,196,3550,male,2008
309,Chinstrap,Dream,196,3500,female,2008
310,Chinstrap,Dream,196,3675,female,2009
312,Chinstrap,Dream,190,3400,female,2009
313,Chinstrap,Dream,212,4300,male,2009
315,Chinstrap,Dream,198,3675,female,2009
317,Chinstrap,Dream,201,3950,male,2009
318,Chinstrap,Dream,193,3600,female,2009
320,Chinstrap,Dream,187,3350,female,2009
321,Chinstrap,Dream,197,3450,male,2009
322,Chinstrap,Dream,191,3250,female,2009
323,Chinstrap,Dream,203,4050,male,2009
324,Chinstrap,Dream,202,3800,male,2009
325,Chinstrap,Dream,194,3525,female,2009
326,Chinstrap,Dream,206,3950,male,2009
327,Chinstrap,Dream,189,3650,female,2009
328,Chinstrap,Dream,195,3650,female,2009
329,Chinstrap,Dream,207,4000,male,2009
330,Chinstrap,Dream,202,3400,female,2009
331,Chinstrap,Dream,193,3775,male,2009
333,Chinstrap,Dream,198,3775,female,2009
