,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,...,PC192,PC193,PC194,PC195,PC196,PC197,PC198,PC199,PC200,PC201
ERR5766177,0.216901,-0.039778,0.107412,0.273272,0.02054,0.114876,-0.256332,-0.151069,0.097451,0.060211,...,0,0,0,0,0,0,0,0,0,0
de028ad4-7ae6-11e9-a106-68b59976a384,-0.099355,0.145224,-0.191676,0.127626,0.119754,-0.132209,-0.097382,0.036728,0.081294,-0.056686,...,0,0,0,0,0,0,0,0,0,0
PNP_Main_283,-0.214108,-0.147466,0.116027,0.090059,0.076644,0.111536,0.092115,0.026477,-0.00646,-0.018592,...,0,0,0,0,0,0,0,0,0,0
PNP_Validation_55,0.244827,-0.173996,-0.311197,-0.012836,0.031759,0.117548,0.148715,-0.135641,0.03473,-0.009395,...,0,0,0,0,0,0,0,0,0,0
G80275,-0.261358,-0.077147,-0.254374,-0.065932,0.088538,0.16597,-0.00526,-0.028739,-0.002016,0.015719,...,0,0,0,0,0,0,0,0,0,0
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
KHG_9,0.296057,-0.1503,0.013941,0.032649,-0.147692,0.019663,-0.06312,-0.034453,-0.073514,0.070085,...,0,0,0,0,0,0,0,0,0,0
A48_01_1FE,0.110621,0.030971,0.154231,-0.185961,-0.008512,-0.10342,0.028169,-0.04453,0.041902,0.068597,...,0,0,0,0,0,0,0,0,0,0
KHG_1,-0.100009,0.167885,0.009915,0.076842,-0.405582,-0.039111,-0.006421,-0.009774,-0.072252,0.15,...,0,0,0,0,0,0,0,0,0,0
TZ_81781,0.405716,-0.139297,-0.075026,-0.079716,-0.053264,-0.119271,0.068261,-0.018821,0.198152,-0.012792,...,0,0,0,0,0,0,0,0,0,0
A09_01_1FE,0.089101,0.471135,0.069629,-0.125644,-0.036793,0.115151,0.060507,-0.000912,-0.027239,-0.138436,...,0,0,0,0,0,0,0,0,0,0
