,Actinobacteria,Apicomplexa,Ascomycota,Bacteroidetes,Basidiomycota,Candidatus Melainabacteria,Chlamydiae,Chloroflexi,Cyanobacteria,Deferribacteres,...,Fusobacteria,Lentisphaerae,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Verrucomicrobia,sample_id,group
200,20.33151,0,0,28.4209,0,0,0,0,0,0,...,0,0,0,0,0,0,0,0,ERR5766177,ancient
0,0.25809,0,0,0,0,0,0,0,0,0,...,0,0,0,4.49959,0,0,0,0,de028ad4-7ae6-11e9-a106-68b59976a384,westernized
1,10.27631,0,0,17.44332,0,0,0,0,0,0,...,0,0.01486,0,0.77098,0,0,0,0.00784,PNP_Main_283,westernized
2,0.45187,0,0,82.864,0,0,0,0,0,0,...,0,0,0,0.05697,0,0,0,0,PNP_Validation_55,westernized
3,1.11902,0,0,69.99087,0,0,0,0,0,0,...,0,0,0,4.07757,0,0,0,1.99276,G80275,westernized
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
195,14.26365,0,0,38.59709,0,0,0,0,0,0,...,0,0,0,0.19699,0,0,0,0,KHG_9,non_westernized
196,5.4775,0,0,14.81828,0,0,0,0,0,0,...,0,0,0,3.64655,0.09964,0,0,0,A48_01_1FE,non_westernized
197,36.77145,0,0,10.13908,0,0,0,0,0,0,...,0,0,0,17.64151,0,0,0,0,KHG_1,non_westernized
198,1.16426,0,0,57.14031,0,0,0,0,0,0,...,0,0,0,0.3058,0.70467,0,0,0,TZ_81781,non_westernized
199,7.40894,0,0,11.61544,0,0,0,0,0,0,...,0,0,0,56.20177,0,0,0,0,A09_01_1FE,non_westernized
