,TAXID,relative_abundance,taxopy,rank,name,lineage
0,2,82.23198,s__Bacteria,superkingdom,Bacteria,"[Bacteria, cellular organisms, root]"
1,2157,17.76802,s__Archaea,superkingdom,Archaea,"[Archaea, cellular organisms, root]"
2,2\|1239,33.47957,s__Bacteria;c__Terrabacteria group;p__Firmicutes,phylum,Firmicutes,"[Firmicutes, Terrabacteria group, Bacteria, ce..."
3,2\|976,28.4209,s__Bacteria;c__FCB group;p__Bacteroidetes,phylum,Bacteroidetes,"[Bacteroidetes, Bacteroidetes/Chlorobi group, ..."
4,2\|201174,20.33151,s__Bacteria;c__Terrabacteria group;p__Actinoba...,phylum,Actinobacteria,"[Actinobacteria, Terrabacteria group, Bacteria..."
...,...,...,...,...,...,...
62,2\|1239\|186801\|186802\|186803\|572511\|33039,0.2491,s__Bacteria;c__Terrabacteria group;p__Firmicut...,species,[Ruminococcus] torques,"[[Ruminococcus] torques, Mediterraneibacter, L..."
63,2\|201174\|84998\|84999\|84107\|1472762\|1232426,0.17084,s__Bacteria;c__Terrabacteria group;p__Actinoba...,species,[Collinsella] massiliensis,"[[Collinsella] massiliensis, Enorma, Coriobact..."
64,2\|1239\|186801\|186802\|186803\|189330\|39486,0.0769,s__Bacteria;c__Terrabacteria group;p__Firmicut...,species,Dorea formicigenerans,"[Dorea formicigenerans, Dorea, Lachnospiraceae..."
65,2\|201174\|1760\|85004\|31953\|1678\|216816,0.05447,s__Bacteria;c__Terrabacteria group;p__Actinoba...,species,Bifidobacterium longum,"[Bifidobacterium longum, Bifidobacterium, Bifi..."
66,2\|1239\|186801\|186802\|541000\|1263\|1262959,0.0144,s__Bacteria;c__Terrabacteria group;p__Firmicut...,species,Ruminococcus sp. CAG:488,"[Ruminococcus sp. CAG:488, environmental sampl..."
